LAKE CODE (MIDAS),LAKE NAME,TOWN(S),STATION,YEAR,MIN_SEC,MIN_SEC_BOTTOM?,MEAN_SEC,MEAN_SEC_BOTTOM?,MAX_SEC,MAX_SEC_BOTTOM?,NUM_MONTHS_SECCHI,MIN_COL,MEAN_COL,MAX_COL,MIN_CHLA,MEAN_CHLA,MAX_CHLA,PH,ALKALINITY,CONDUCTIVITY,TPHOS_EC,TPHOS_SG,TPHOS_BG,TPHOS_PG,TSI_SEC,TSI_CHL,TSI_TPEC,TSI_TPPG
0007,Estes Lake,"Alfred, Sanford",1,1997,2.1,,2.9,,3.7,,5,,,,9.5,9.5,9.5,7.13,16,112,17,,,,,,,
0007,Estes Lake,"Alfred, Sanford",1,1998,1.3,,2.2,,2.8,,5,,,,15,15,15,,15,113,26,,28,,,,,
0007,Estes Lake,"Alfred, Sanford",1,1999,2.3,,3.1,,3.9,,5,,,,,,,,,,,,,,,,,
0007,Estes Lake,"Alfred, Sanford",1,2000,2.8,,3.3,,3.6,,5,,,,,,,,,,,,,,,,,
0007,Estes Lake,"Alfred, Sanford",1,2001,2,,2.8,,3.4,,4,,,,,,,,,,,,,,,,,
0007,Estes Lake,"Alfred, Sanford",1,2002,2.3,,2.9,,3.4,,5,30,30,30,8.7,9,9.3,,17.5,128,14,,12,,,,,
0007,Estes Lake,"Alfred, Sanford",1,2003,3.2,,3.4,,3.6,,4,,,,,,,,,,,,,,,,,
0007,Estes Lake,"Alfred, Sanford",1,2004,2.7,,2.7,,2.8,,1,47,47,47,15,15,15,7.24,16.8,114,19,,40,,,,,
0007,Estes Lake,"Alfred, Sanford",1,2005,2.1,,3.2,,3.9,,4,37,37,37,12,12,12,7.16,15.5,144,18,20,37,,,,,
0007,Estes Lake,"Alfred, Sanford",1,2006,2.8,,3.4,,4.4,,6,52,52,52,4,4.3,4.5,7.1,12.7,129,20,21,,,,,,
0007,Estes Lake,"Alfred, Sanford",1,2007,2.6,,3.5,,5.4,,5,,,,,,,,,,,20,,,,,,
0007,Estes Lake,"Alfred, Sanford",1,2008,2.4,,3.4,,4,,3,,,,,,,,,,,19,,,,,,
0007,Estes Lake,"Alfred, Sanford",1,2009,2.1,,3.3,,4.1,,5,,,,,,,,,,,20,,,,,,
0007,Estes Lake,"Alfred, Sanford",1,2010,2.6,,3.1,,3.6,,5,,,,,,,,,,,17,,,,,,
