LAKE CODE (MIDAS),LAKE NAME,TOWN(S),SCIENTIFIC NAME,COMMON NAME
0002,Indian Pond,Lexington Twp,Catostomus commersoni,White sucker
0002,Indian Pond,Lexington Twp,Esox niger,Chain pickerel
0002,Indian Pond,Lexington Twp,Lepomis auritus,Redbreast sunfish
0002,Indian Pond,Lexington Twp,Lepomis gibbosus,Pumpkinseed
0002,Indian Pond,Lexington Twp,Rhinichthys atratulus,Blacknose dace
0003,Pineo Pond,Deblois,Notemigonus crysoleucas,Golden shiner
0003,Pineo Pond,Deblois,Salvelinus fontinalis,Brook trout
0004,Gilman Pond,"New Portland, Lexington Twp",Ameiurus nebulosus,Brown bullhead
0004,Gilman Pond,"New Portland, Lexington Twp",Catostomus commersoni,White sucker
0004,Gilman Pond,"New Portland, Lexington Twp",Esox niger,Chain pickerel
0004,Gilman Pond,"New Portland, Lexington Twp",Lepomis gibbosus,Pumpkinseed
0004,Gilman Pond,"New Portland, Lexington Twp",Notemigonus crysoleucas,Golden shiner
0004,Gilman Pond,"New Portland, Lexington Twp",Salmo trutta,Brown trout
0004,Gilman Pond,"New Portland, Lexington Twp",Salvelinus fontinalis,Brook trout
0004,Gilman Pond,"New Portland, Lexington Twp",Semotilus corporalis,Fallfish
0006,Safford Pond,Lexington Twp,Esox niger,Chain pickerel
0006,Safford Pond,Lexington Twp,Lepomis gibbosus,Pumpkinseed
0006,Safford Pond,Lexington Twp,Rhinichthys atratulus,Blacknose dace
0007,Estes Lake,"Alfred, Sanford",Ameiurus nebulosus,Brown bullhead
0007,Estes Lake,"Alfred, Sanford",Anguilla rostrata,American eel
0007,Estes Lake,"Alfred, Sanford",Catostomus commersoni,White sucker
0007,Estes Lake,"Alfred, Sanford",Esox lucius,Northern pike
0007,Estes Lake,"Alfred, Sanford",Esox niger,Chain pickerel
0007,Estes Lake,"Alfred, Sanford",Lepomis gibbosus,Pumpkinseed
0007,Estes Lake,"Alfred, Sanford",Micropterus dolomieu,Smallmouth bass
0007,Estes Lake,"Alfred, Sanford",Micropterus salmoides,Largemouth bass
0007,Estes Lake,"Alfred, Sanford",Morone americana,White perch
0007,Estes Lake,"Alfred, Sanford",Notemigonus crysoleucas,Golden shiner
0007,Estes Lake,"Alfred, Sanford",Perca flavescens,Yellow perch
0007,Estes Lake,"Alfred, Sanford",Pomoxis nigromaculatus,Black crappie
0007,Estes Lake,"Alfred, Sanford",Rhinichthys atratulus,Blacknose dace
0007,Estes Lake,"Alfred, Sanford",Salmo trutta,Brown trout
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Ameiurus nebulosus,Brown bullhead
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Catostomus catostomus,Longnose sucker
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Catostomus commersoni,White sucker
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Coregonus clupeaformis,Lake whitefish
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Cottus cognatus,Slimy sculpin
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Couesius plumbeus,Lake chub
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Gasterosteus aculeatus,Threespine stickleback
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Lota lota,Cusk
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Luxilus cornutus,Common shiner
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Notemigonus crysoleucas,Golden shiner
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Osmerus mordax,Rainbow smelt
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Perca flavescens,Yellow perch
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Phoxinus eos,Northern redbelly dace
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Phoxinus neogaeus,Finescale dace
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Prosopium cylindraceum,Round whitefish
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Pungitius pungitius,Ninespine stickleback
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Salmo salar sebago,Landlocked salmon
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Salvelinus fontinalis,Brook trout
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Salvelinus namaycush,Lake trout
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Semotilus atromaculatus,Creek chub
0009,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",Semotilus corporalis,Fallfish
0010,Pennell Pond,New Portland,Ameiurus nebulosus,Brown bullhead
0010,Pennell Pond,New Portland,Cyprinidae,Minnows-carps
0012,Porter Lake,"New Vineyard, Strong",Ameiurus nebulosus,Brown bullhead
0012,Porter Lake,"New Vineyard, Strong",Anguilla rostrata,American eel
0012,Porter Lake,"New Vineyard, Strong",Catostomus commersoni,White sucker
0012,Porter Lake,"New Vineyard, Strong",Couesius plumbeus,Lake chub
0012,Porter Lake,"New Vineyard, Strong",Esox niger,Chain pickerel
0012,Porter Lake,"New Vineyard, Strong",Lepomis gibbosus,Pumpkinseed
0012,Porter Lake,"New Vineyard, Strong",Luxilus cornutus,Common shiner
0012,Porter Lake,"New Vineyard, Strong",Micropterus dolomieu,Smallmouth bass
0012,Porter Lake,"New Vineyard, Strong",Morone americana,White perch
0012,Porter Lake,"New Vineyard, Strong",Notemigonus crysoleucas,Golden shiner
0012,Porter Lake,"New Vineyard, Strong",Osmerus mordax,Rainbow smelt
0012,Porter Lake,"New Vineyard, Strong",Perca flavescens,Yellow perch
0012,Porter Lake,"New Vineyard, Strong",Phoxinus eos,Northern redbelly dace
0012,Porter Lake,"New Vineyard, Strong",Salmo salar sebago,Landlocked salmon
0012,Porter Lake,"New Vineyard, Strong",Salvelinus fontinalis,Brook trout
0012,Porter Lake,"New Vineyard, Strong",Salvelinus namaycush,Lake trout
0012,Porter Lake,"New Vineyard, Strong",Semotilus atromaculatus,Creek chub
0016,Day Mountain Pond,Avon,Rhinichthys atratulus,Blacknose dace
0016,Day Mountain Pond,Avon,Salvelinus fontinalis,Brook trout
0016,Day Mountain Pond,Avon,Semotilus atromaculatus,Creek chub
0019,Emery (Mud) Pond,Sidney,Lepomis gibbosus,Pumpkinseed
0019,Emery (Mud) Pond,Sidney,Notemigonus crysoleucas,Golden shiner
0019,Emery (Mud) Pond,Sidney,Perca flavescens,Yellow perch
0019,Emery (Mud) Pond,Sidney,Pungitius pungitius,Ninespine stickleback
0019,Emery (Mud) Pond,Sidney,Salmo trutta,Brown trout
0022,Lily Pond,New Vineyard,Ameiurus nebulosus,Brown bullhead
0022,Lily Pond,New Vineyard,Anguilla rostrata,American eel
0022,Lily Pond,New Vineyard,Catostomus commersoni,White sucker
0022,Lily Pond,New Vineyard,Couesius plumbeus,Lake chub
0022,Lily Pond,New Vineyard,Esox niger,Chain pickerel
0022,Lily Pond,New Vineyard,Lepomis gibbosus,Pumpkinseed
0022,Lily Pond,New Vineyard,Luxilus cornutus,Common shiner
0022,Lily Pond,New Vineyard,Notemigonus crysoleucas,Golden shiner
0022,Lily Pond,New Vineyard,Perca flavescens,Yellow perch
0022,Lily Pond,New Vineyard,Phoxinus eos,Northern redbelly dace
0022,Lily Pond,New Vineyard,Semotilus atromaculatus,Creek chub
0024,Gammon Pond,"Freeman Twp, New Portland",Ameiurus nebulosus,Brown bullhead
0024,Gammon Pond,"Freeman Twp, New Portland",Catostomus commersoni,White sucker
0024,Gammon Pond,"Freeman Twp, New Portland",Esox niger,Chain pickerel
0024,Gammon Pond,"Freeman Twp, New Portland",Perca flavescens,Yellow perch
0024,Gammon Pond,"Freeman Twp, New Portland",Semotilus corporalis,Fallfish
0027,Prick Pond,Skinner Twp,Salvelinus fontinalis,Brook trout
0028,Tufts Pond,Kingfield,Anguilla rostrata,American eel
0028,Tufts Pond,Kingfield,Catostomus commersoni,White sucker
0028,Tufts Pond,Kingfield,Osmerus mordax,Rainbow smelt
0028,Tufts Pond,Kingfield,Phoxinus eos,Northern redbelly dace
0028,Tufts Pond,Kingfield,Rhinichthys atratulus,Blacknose dace
0028,Tufts Pond,Kingfield,Salmo trutta,Brown trout
0028,Tufts Pond,Kingfield,Salvelinus fontinalis,Brook trout
0028,Tufts Pond,Kingfield,Salvelinus hybrid1,Splake
0028,Tufts Pond,Kingfield,Semotilus atromaculatus,Creek chub
0029,Robinson Pond,Chesterville,Catostomus commersoni,White sucker
0029,Robinson Pond,Chesterville,Esox niger,Chain pickerel
0029,Robinson Pond,Chesterville,Lepomis gibbosus,Pumpkinseed
0029,Robinson Pond,Chesterville,Notemigonus crysoleucas,Golden shiner
0030,Pinnacle Pond,Kingfield,Ameiurus nebulosus,Brown bullhead
0030,Pinnacle Pond,Kingfield,Lepomis auritus,Redbreast sunfish
0030,Pinnacle Pond,Kingfield,Salvelinus fontinalis,Brook trout
0032,Grindstone Pond,Kingfield,Catostomus commersoni,White sucker
0032,Grindstone Pond,Kingfield,Phoxinus eos,Northern redbelly dace
0032,Grindstone Pond,Kingfield,Rhinichthys atratulus,Blacknose dace
0032,Grindstone Pond,Kingfield,Salvelinus fontinalis,Brook trout
0032,Grindstone Pond,Kingfield,Semotilus atromaculatus,Creek chub
0034,Hid Pond,Kingfield,Rhinichthys atratulus,Blacknose dace
0034,Hid Pond,Kingfield,Salvelinus fontinalis,Brook trout
0035,Clark Cove Pond,South Bristol,Alosa pseudoharengus,"Alewife, searun"
0035,Clark Cove Pond,South Bristol,Anguilla rostrata,American eel
0035,Clark Cove Pond,South Bristol,Fundulus heteroclitus,Mummichog
0035,Clark Cove Pond,South Bristol,Micropterus salmoides,Largemouth bass
0035,Clark Cove Pond,South Bristol,Notemigonus crysoleucas,Golden shiner
0035,Clark Cove Pond,South Bristol,Pungitius pungitius,Ninespine stickleback
0035,Clark Cove Pond,South Bristol,Salmo trutta,Brown trout
0035,Clark Cove Pond,South Bristol,Salvelinus fontinalis,Brook trout
0036,Redington Pond,Carrabasset Valley,Catostomus commersoni,White sucker
0036,Redington Pond,Carrabasset Valley,Salvelinus fontinalis,Brook trout
0036,Redington Pond,Carrabasset Valley,Semotilus atromaculatus,Creek chub
0037,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",Alosa pseudoharengus,"Alewife, searun"
0037,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",Ameiurus nebulosus,Brown bullhead
0037,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",Anguilla rostrata,American eel
0037,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",Esox lucius,Northern pike
0037,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",Esox niger,Chain pickerel
0037,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",Lepomis gibbosus,Pumpkinseed
0037,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",Micropterus dolomieu,Smallmouth bass
0037,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",Micropterus salmoides,Largemouth bass
0037,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",Morone americana,White perch
0037,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",Notemigonus crysoleucas,Golden shiner
0037,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",Perca flavescens,Yellow perch
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Ameiurus nebulosus,Brown bullhead
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Catostomus commersoni,White sucker
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Cottus cognatus,Slimy sculpin
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Couesius plumbeus,Lake chub
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Esox niger,Chain pickerel
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Luxilus cornutus,Common shiner
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Notemigonus crysoleucas,Golden shiner
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Osmerus mordax,Rainbow smelt
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Perca flavescens,Yellow perch
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Phoxinus eos,Northern redbelly dace
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Phoxinus neogaeus,Finescale dace
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Rhinichthys atratulus,Blacknose dace
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Salmo salar sebago,Landlocked salmon
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Salvelinus fontinalis,Brook trout
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Semotilus atromaculatus,Creek chub
0038,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",Semotilus corporalis,Fallfish
0039,Lily Pond,"Bath, West Bath",Ameiurus nebulosus,Brown bullhead
0039,Lily Pond,"Bath, West Bath",Anguilla rostrata,American eel
0039,Lily Pond,"Bath, West Bath",Esox niger,Chain pickerel
0039,Lily Pond,"Bath, West Bath",Lepomis gibbosus,Pumpkinseed
0039,Lily Pond,"Bath, West Bath",Micropterus salmoides,Largemouth bass
0039,Lily Pond,"Bath, West Bath",Morone americana,White perch
0039,Lily Pond,"Bath, West Bath",Notemigonus crysoleucas,Golden shiner
0039,Lily Pond,"Bath, West Bath",Perca flavescens,Yellow perch
0040,Black Brook Pond,Pierce Pond Twp,Catostomus commersoni,White sucker
0040,Black Brook Pond,Pierce Pond Twp,Couesius plumbeus,Lake chub
0040,Black Brook Pond,Pierce Pond Twp,Luxilus cornutus,Common shiner
0040,Black Brook Pond,Pierce Pond Twp,Phoxinus eos,Northern redbelly dace
0040,Black Brook Pond,Pierce Pond Twp,Phoxinus neogaeus,Finescale dace
0040,Black Brook Pond,Pierce Pond Twp,Salvelinus fontinalis,Brook trout
0040,Black Brook Pond,Pierce Pond Twp,Semotilus atromaculatus,Creek chub
0041,Carlton Pond,"Detroit, Troy",Ameiurus nebulosus,Brown bullhead
0041,Carlton Pond,"Detroit, Troy",Anguilla rostrata,American eel
0041,Carlton Pond,"Detroit, Troy",Catostomus commersoni,White sucker
0041,Carlton Pond,"Detroit, Troy",Esox niger,Chain pickerel
0041,Carlton Pond,"Detroit, Troy",Lepomis gibbosus,Pumpkinseed
0041,Carlton Pond,"Detroit, Troy",Micropterus salmoides,Largemouth bass
0041,Carlton Pond,"Detroit, Troy",Notemigonus crysoleucas,Golden shiner
0041,Carlton Pond,"Detroit, Troy",Perca flavescens,Yellow perch
0042,Basin Pond,Pierce Pond Twp,Catostomus commersoni,White sucker
0042,Basin Pond,Pierce Pond Twp,Couesius plumbeus,Lake chub
0042,Basin Pond,Pierce Pond Twp,Phoxinus eos,Northern redbelly dace
0042,Basin Pond,Pierce Pond Twp,Phoxinus neogaeus,Finescale dace
0042,Basin Pond,Pierce Pond Twp,Rhinichthys atratulus,Blacknose dace
0042,Basin Pond,Pierce Pond Twp,Salvelinus fontinalis,Brook trout
0042,Basin Pond,Pierce Pond Twp,Semotilus atromaculatus,Creek chub
0044,East Carry Pond,Carrying Place Town Twp,Notemigonus crysoleucas,Golden shiner
0044,East Carry Pond,Carrying Place Town Twp,Osmerus mordax,Rainbow smelt
0044,East Carry Pond,Carrying Place Town Twp,Salvelinus fontinalis,Brook trout
0046,Middle Carry Pond,Carrying Place Town Twp,Catostomus catostomus,Longnose sucker
0046,Middle Carry Pond,Carrying Place Town Twp,Catostomus commersoni,White sucker
0046,Middle Carry Pond,Carrying Place Town Twp,Notemigonus crysoleucas,Golden shiner
0046,Middle Carry Pond,Carrying Place Town Twp,Phoxinus eos,Northern redbelly dace
0046,Middle Carry Pond,Carrying Place Town Twp,Phoxinus neogaeus,Finescale dace
0046,Middle Carry Pond,Carrying Place Town Twp,Rhinichthys atratulus,Blacknose dace
0046,Middle Carry Pond,Carrying Place Town Twp,Salvelinus fontinalis,Brook trout
0048,West Carry Pond,Carrying Place Town Twp,Catostomus catostomus,Longnose sucker
0048,West Carry Pond,Carrying Place Town Twp,Catostomus commersoni,White sucker
0048,West Carry Pond,Carrying Place Town Twp,Cottus cognatus,Slimy sculpin
0048,West Carry Pond,Carrying Place Town Twp,Couesius plumbeus,Lake chub
0048,West Carry Pond,Carrying Place Town Twp,Esox niger,Chain pickerel
0048,West Carry Pond,Carrying Place Town Twp,Notropis heterolepis,Blacknose shiner
0048,West Carry Pond,Carrying Place Town Twp,Osmerus mordax,Rainbow smelt
0048,West Carry Pond,Carrying Place Town Twp,Phoxinus eos,Northern redbelly dace
0048,West Carry Pond,Carrying Place Town Twp,Rhinichthys atratulus,Blacknose dace
0048,West Carry Pond,Carrying Place Town Twp,Salvelinus fontinalis,Brook trout
0048,West Carry Pond,Carrying Place Town Twp,Salvelinus namaycush,Lake trout
0048,West Carry Pond,Carrying Place Town Twp,Semotilus atromaculatus,Creek chub
0050,Jewett Pond,Pleasant Ridge Plt,Ameiurus nebulosus,Brown bullhead
0050,Jewett Pond,Pleasant Ridge Plt,Anguilla rostrata,American eel
0050,Jewett Pond,Pleasant Ridge Plt,Catostomus commersoni,White sucker
0050,Jewett Pond,Pleasant Ridge Plt,Notemigonus crysoleucas,Golden shiner
0050,Jewett Pond,Pleasant Ridge Plt,Phoxinus eos,Northern redbelly dace
0050,Jewett Pond,Pleasant Ridge Plt,Phoxinus neogaeus,Finescale dace
0050,Jewett Pond,Pleasant Ridge Plt,Pimephales promelas,Fathead minnow
0050,Jewett Pond,Pleasant Ridge Plt,Rhinichthys atratulus,Blacknose dace
0050,Jewett Pond,Pleasant Ridge Plt,Salmo salar sebago,Landlocked salmon
0050,Jewett Pond,Pleasant Ridge Plt,Salvelinus fontinalis,Brook trout
0052,Spruce Pond,Lexington Twp,Notemigonus crysoleucas,Golden shiner
0052,Spruce Pond,Lexington Twp,Pungitius pungitius,Ninespine stickleback
0052,Spruce Pond,Lexington Twp,Salvelinus fontinalis,Brook trout
0056,Butler Pond,"Kingfield, Lexington Twp",Catostomus commersoni,White sucker
0056,Butler Pond,"Kingfield, Lexington Twp",Rhinichthys atratulus,Blacknose dace
0056,Butler Pond,"Kingfield, Lexington Twp",Salvelinus fontinalis,Brook trout
0059,Mountain Pond #1,Johnson Mountain Twp,Salvelinus fontinalis,Brook trout
0062,Baker Pond,Solon,Catostomus commersoni,White sucker
0062,Baker Pond,Solon,Lepomis auritus,Redbreast sunfish
0062,Baker Pond,Solon,Lepomis gibbosus,Pumpkinseed
0062,Baker Pond,Solon,Micropterus dolomieu,Smallmouth bass
0062,Baker Pond,Solon,Salmo trutta,Brown trout
0062,Baker Pond,Solon,Salvelinus fontinalis,Brook trout
0062,Baker Pond,Solon,Semotilus atromaculatus,Creek chub
0064,Chase Pond,Solon,Ameiurus nebulosus,Brown bullhead
0064,Chase Pond,Solon,Catostomus commersoni,White sucker
0064,Chase Pond,Solon,Lepomis gibbosus,Pumpkinseed
0064,Chase Pond,Solon,Notemigonus crysoleucas,Golden shiner
0064,Chase Pond,Solon,Phoxinus neogaeus,Finescale dace
0064,Chase Pond,Solon,Salvelinus fontinalis,Brook trout
0064,Chase Pond,Solon,Semotilus atromaculatus,Creek chub
0068,Rowell Pond,Solon,Catostomus commersoni,White sucker
0068,Rowell Pond,Solon,Lepomis gibbosus,Pumpkinseed
0068,Rowell Pond,Solon,Luxilus cornutus,Common shiner
0068,Rowell Pond,Solon,Notemigonus crysoleucas,Golden shiner
0068,Rowell Pond,Solon,Phoxinus neogaeus,Finescale dace
0068,Rowell Pond,Solon,Pimephales promelas,Fathead minnow
0068,Rowell Pond,Solon,Semotilus atromaculatus,Creek chub
0070,Wesserunsett Lake,Madison,Alosa pseudoharengus,"Alewife, searun"
0070,Wesserunsett Lake,Madison,Ameiurus nebulosus,Brown bullhead
0070,Wesserunsett Lake,Madison,Anguilla rostrata,American eel
0070,Wesserunsett Lake,Madison,Catostomus commersoni,White sucker
0070,Wesserunsett Lake,Madison,Esox niger,Chain pickerel
0070,Wesserunsett Lake,Madison,Lepomis auritus,Redbreast sunfish
0070,Wesserunsett Lake,Madison,Lepomis gibbosus,Pumpkinseed
0070,Wesserunsett Lake,Madison,Micropterus dolomieu,Smallmouth bass
0070,Wesserunsett Lake,Madison,Micropterus salmoides,Largemouth bass
0070,Wesserunsett Lake,Madison,Morone americana,White perch
0070,Wesserunsett Lake,Madison,Perca flavescens,Yellow perch
0070,Wesserunsett Lake,Madison,Rhinichthys atratulus,Blacknose dace
0070,Wesserunsett Lake,Madison,Salmo trutta,Brown trout
0070,Wesserunsett Lake,Madison,Salvelinus fontinalis,Brook trout
0070,Wesserunsett Lake,Madison,Semotilus atromaculatus,Creek chub
0071,The Basin,Turner,Ameiurus nebulosus,Brown bullhead
0071,The Basin,Turner,Esox lucius,Northern pike
0071,The Basin,Turner,Esox niger,Chain pickerel
0071,The Basin,Turner,Micropterus salmoides,Largemouth bass
0071,The Basin,Turner,Perca flavescens,Yellow perch
0074,Fahi Pond,Embden,Ameiurus nebulosus,Brown bullhead
0074,Fahi Pond,Embden,Anguilla rostrata,American eel
0074,Fahi Pond,Embden,Catostomus commersoni,White sucker
0074,Fahi Pond,Embden,Esox niger,Chain pickerel
0074,Fahi Pond,Embden,Lepomis auritus,Redbreast sunfish
0074,Fahi Pond,Embden,Luxilus cornutus,Common shiner
0074,Fahi Pond,Embden,Morone americana,White perch
0074,Fahi Pond,Embden,Notemigonus crysoleucas,Golden shiner
0074,Fahi Pond,Embden,Perca flavescens,Yellow perch
0074,Fahi Pond,Embden,Salvelinus fontinalis,Brook trout
0074,Fahi Pond,Embden,Semotilus atromaculatus,Creek chub
0074,Fahi Pond,Embden,Semotilus corporalis,Fallfish
0076,Sandy Pond,Embden,Ameiurus nebulosus,Brown bullhead
0076,Sandy Pond,Embden,Anguilla rostrata,American eel
0076,Sandy Pond,Embden,Catostomus commersoni,White sucker
0076,Sandy Pond,Embden,Esox niger,Chain pickerel
0076,Sandy Pond,Embden,Lepomis gibbosus,Pumpkinseed
0076,Sandy Pond,Embden,Micropterus dolomieu,Smallmouth bass
0076,Sandy Pond,Embden,Notemigonus crysoleucas,Golden shiner
0076,Sandy Pond,Embden,Perca flavescens,Yellow perch
0076,Sandy Pond,Embden,Salmo trutta,Brown trout
0078,Embden Pond,Embden,Ameiurus nebulosus,Brown bullhead
0078,Embden Pond,Embden,Anguilla rostrata,American eel
0078,Embden Pond,Embden,Catostomus commersoni,White sucker
0078,Embden Pond,Embden,Cottus cognatus,Slimy sculpin
0078,Embden Pond,Embden,Esox niger,Chain pickerel
0078,Embden Pond,Embden,Fundulus diaphanus,Banded killifish
0078,Embden Pond,Embden,Lepomis gibbosus,Pumpkinseed
0078,Embden Pond,Embden,Lota lota,Cusk
0078,Embden Pond,Embden,Luxilus cornutus,Common shiner
0078,Embden Pond,Embden,Micropterus dolomieu,Smallmouth bass
0078,Embden Pond,Embden,Notemigonus crysoleucas,Golden shiner
0078,Embden Pond,Embden,Osmerus mordax,Rainbow smelt
0078,Embden Pond,Embden,Perca flavescens,Yellow perch
0078,Embden Pond,Embden,Rhinichthys atratulus,Blacknose dace
0078,Embden Pond,Embden,Salmo salar sebago,Landlocked salmon
0078,Embden Pond,Embden,Salvelinus fontinalis,Brook trout
0078,Embden Pond,Embden,Salvelinus namaycush,Lake trout
0078,Embden Pond,Embden,Semotilus corporalis,Fallfish
0079,Black Hill Pond,Embden,Catostomus commersoni,White sucker
0079,Black Hill Pond,Embden,Phoxinus eos,Northern redbelly dace
0079,Black Hill Pond,Embden,Rhinichthys atratulus,Blacknose dace
0079,Black Hill Pond,Embden,Salvelinus fontinalis,Brook trout
0079,Black Hill Pond,Embden,Semotilus atromaculatus,Creek chub
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Ameiurus nebulosus,Brown bullhead
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Anguilla rostrata,American eel
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Catostomus commersoni,White sucker
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Esox lucius,Northern pike
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Esox niger,Chain pickerel
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Lepomis auritus,Redbreast sunfish
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Lepomis gibbosus,Pumpkinseed
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Lota lota,Cusk
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Luxilus cornutus,Common shiner
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Micropterus dolomieu,Smallmouth bass
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Morone americana,White perch
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Notemigonus crysoleucas,Golden shiner
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Perca flavescens,Yellow perch
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Salvelinus fontinalis,Brook trout
0080,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",Semotilus corporalis,Fallfish
0082,Hancock Pond,"Embden, Lexington Twp",Ameiurus nebulosus,Brown bullhead
0082,Hancock Pond,"Embden, Lexington Twp",Anguilla rostrata,American eel
0082,Hancock Pond,"Embden, Lexington Twp",Catostomus commersoni,White sucker
0082,Hancock Pond,"Embden, Lexington Twp",Cottus cognatus,Slimy sculpin
0082,Hancock Pond,"Embden, Lexington Twp",Cyprinidae,Minnows-carps
0082,Hancock Pond,"Embden, Lexington Twp",Esox niger,Chain pickerel
0082,Hancock Pond,"Embden, Lexington Twp",Lepomis auritus,Redbreast sunfish
0082,Hancock Pond,"Embden, Lexington Twp",Micropterus dolomieu,Smallmouth bass
0082,Hancock Pond,"Embden, Lexington Twp",Osmerus mordax,Rainbow smelt
0082,Hancock Pond,"Embden, Lexington Twp",Salmo salar sebago,Landlocked salmon
0082,Hancock Pond,"Embden, Lexington Twp",Salvelinus fontinalis,Brook trout
0082,Hancock Pond,"Embden, Lexington Twp",Salvelinus namaycush,Lake trout
0083,Lilly Pond,"Camden, Rockport",Lepomis gibbosus,Pumpkinseed
0083,Lilly Pond,"Camden, Rockport",Micropterus salmoides,Largemouth bass
0086,Pierce Pond,"Bowtown Twp, Pierce Pond Twp",Anguilla rostrata,American eel
0086,Pierce Pond,"Bowtown Twp, Pierce Pond Twp",Couesius plumbeus,Lake chub
0086,Pierce Pond,"Bowtown Twp, Pierce Pond Twp",Esox niger,Chain pickerel
0086,Pierce Pond,"Bowtown Twp, Pierce Pond Twp",Fundulus diaphanus,Banded killifish
0086,Pierce Pond,"Bowtown Twp, Pierce Pond Twp",Osmerus mordax,Rainbow smelt
0086,Pierce Pond,"Bowtown Twp, Pierce Pond Twp",Rhinichthys atratulus,Blacknose dace
0086,Pierce Pond,"Bowtown Twp, Pierce Pond Twp",Salmo salar sebago,Landlocked salmon
0086,Pierce Pond,"Bowtown Twp, Pierce Pond Twp",Salvelinus fontinalis,Brook trout
0086,Pierce Pond,"Bowtown Twp, Pierce Pond Twp",Salvelinus namaycush,Lake trout
