WATCODE,STATE HERITAGE FISH WATER,ALTERNATE NAME,TOWN,COUNTY,REGION,STATE HERITAGE FISH,*LAST YEAR STOCKED
2042,BASIN P #1,,MOUNT KATAHDIN TWP,PISCATAQUIS,F,BKT,NRS
2044,BASIN P #2,,MOUNT KATAHDIN TWP,PISCATAQUIS,F,BKT,NRS
4210,BELL P,,T4 R9 WELS,PISCATAQUIS,F,BKT,NRS
912,BRANCH P (MIDDLE),,T5 R9 NWP,PISCATAQUIS,F,BKT,NRS
4224,BRANCH P (UPPER SO),SOUTH BRANCH P (UPPER),T5 R9 WELS,PISCATAQUIS,F,BKT,1966/1980
2706,BRAYLEY P,,T7 R10 WELS,PISCATAQUIS,F,BKT,NRS
474,CEDAR P,,TB R10 WELS,PISCATAQUIS,F,BKT,1973
2734,CENTER P,,T4 R10 WELS,PISCATAQUIS,F,BKT,NRS
538,CHURCH P,,TA R10 WELS,PISCATAQUIS,F,BKT,NRS
720,DAICEY P,,T3 R10 WELS,PISCATAQUIS,F,BKT,1961
594,DAISEY P,,T2 R10 WELS,PISCATAQUIS,F,BKT,NRS
586,DEBSCONEAG L (2ND),,T2 R10 WELS,PISCATAQUIS,F,BKT,NRS
9616,DEEP P,,T4 R9 WELS,PISCATAQUIS,F,BKT,NRS
706,DEER P,,T3 R10 WELS,PISCATAQUIS,F,BKT,1970
4194,DRAPER P,,T4 R9 WELS,PISCATAQUIS,F,BKT,NRS
2732,DWELLEY P,,NESOURDNAHUNK TWP,PISCATAQUIS,F,BKT,NRS
722,ELBOW P,,T3 R10 WELS,PISCATAQUIS,F,BKT,NRS
696,FOSS & KNOWLTON P,,T3 R10 WELS,PISCATAQUIS,F,BKT,1947
4218,FOWLER P (LITTLE),,T5 R9 WELS,PISCATAQUIS,F,BKT,NRS
4232,FOWLER P (LOWER),,TROUT BROOK TWP,PISCATAQUIS,F,BKT,NRS
4220,FOWLER P (MIDDLE),,T5 R9 WELS,PISCATAQUIS,F,BKT,NRS
472,GAUNTLET P,,TB R10 WELS,PISCATAQUIS,F,BKT,NRS
724,GRASSY P,,T3 R10 WELS,PISCATAQUIS,F,BKT,NRS
464,GREENWOOD P,,TB R11 WELS,PISCATAQUIS,F,BKT,NRS
4242,HATHORN P,,T4 R8 WELS,PENOBSCOT,F,BKT,NRS
2298,HATHORN P (LITTLE),,T4 R8 WELS,PENOBSCOT,F,BKT,NRS
4252,HAY P,,T6 R8 WELS,PENOBSCOT,F,BKT,NRS
4236,HIGH P,,TROUT BROOK TWP,PISCATAQUIS,F,BKT,NRS
9786,HILL P,,T7 R9 WELS,PISCATAQUIS,F,BKT,NRS
920,HOUSTON P (LITTLE),,KATAHDIN IRON WORKS TWP,PISCATAQUIS,F,BKT,1968
2724,HUDSON P,,T6 R10 WELS,PISCATAQUIS,F,BKT,NRS
2064,HURD P,,T2 R10 WELS,PISCATAQUIS,F,BKT,1974
596,HURD P (LITTLE),,T2 R10 WELS,PISCATAQUIS,F,BKT,NRS
2190,JERRY P,,T5 R7 WELS,PENOBSCOT,F,BKT,1959
534,JOHNSTON P,,TA R10 WELS,PISCATAQUIS,F,BKT,NRS
2016,KATAHDIN L,,T3 R8 WELS,PENOBSCOT,F,BKT,1959
716,KIDNEY P,,T3 R10 WELS,PISCATAQUIS,F,BKT,1961
3664,LANE BROOK P,,T6 R6 WELS,PENOBSCOT,F,BKT,NRS
718,LILY PAD P,,T3 R10 WELS,PISCATAQUIS,F,BKT,1945
4230,LONG P,,TROUT BROOK TWP,PISCATAQUIS,F,BKT,NRS
728,LOST P,,T3 R10 WELS,PISCATAQUIS,F,BKT,1959
3030,LOST P,,T7 R7 WELS,PENOBSCOT,F,BKT,1947
4244,MESSER P,,T5 R8 WELS,PENOBSCOT,F,BKT,1961
590,MINISTER P (BIG),,T2 R10 WELS,PISCATAQUIS,F,BKT,NRS
592,MINISTER P (LITTLE),,T2 R10 WELS,PISCATAQUIS,F,BKT,NRS
588,MOOSE P,,T2 R10 WELS,PISCATAQUIS,F,BKT,NRS
968,MOOSE P,,T1 R9 WELS,PISCATAQUIS,F,BKT,1969
2302,MOOSE P,,T3 R8 WELS,PENOBSCOT,F,BKT,NRS
4258,MOUNTAIN CATCHER P,,T6 R8 WELS,PENOBSCOT,F,BKT,1951
2208,PEAKED MOUNTAIN P,,T4 R7 WELS,PENOBSCOT,F,BKT,NRS
3670,PLEASANT & MUD LAKES,,T6 R6 WELS,PENOBSCOT,F,BKT,1956
4206,POGY P,,T4 R9 WELS,PISCATAQUIS,F,BKT,NRS
708,ROCKY P,,T3 R10 WELS,PISCATAQUIS,F,BKT,1949
710,ROCKY P (LITTLE),,T3 R10 WELS,PISCATAQUIS,F,BKT,NRS
2018,ROCKY P,,T3 R8 WELS,PENOBSCOT,F,BKT,NRS
2022,RUSSELL P,,T4 R9 WELS,PISCATAQUIS,F,BKT,NRS
2040,SANDY STREAM P,,MOUNT KATAHDIN TWP,PISCATAQUIS,F,BKT,NRS
4196,SIX PONDS #3,,T4 R9 WELS,PISCATAQUIS,F,BKT,NRS
4192,SIX PONDS #4,,T4 R9 WELS,PISCATAQUIS,F,BKT,NRS
2730,SOURDNAHUNK L,NESOWADNEHUNK L,T5 R11 WELS,PISCATAQUIS,F,BKT,1956
466,SPRUCE MOUNTAIN P,,TB R11 WELS,PISCATAQUIS,F,BKT,NRS
8260,STUMP P,,T3 R10 WELS,PISCATAQUIS,F,BKT,NRS
726,TRACY P,,T3 R10 WELS,PISCATAQUIS,F,BKT,NRS
4216,TRAVELER P,,T5 R9 WELS,PISCATAQUIS,F,BKT,NRS
1098,TROUT L,,KOSSUTH TWP,WASHINGTON,F,BKT,NRS
4724,TROUT P,,GRAND FALLS TWP,,F,BKT,NRS
2026,TWIN P #1,,T4 R9 WELS,PISCATAQUIS,F,BKT,NRS
2102,TWIN P (UPPER),,T2 R9 WELS,PISCATAQUIS,F,BKT,1990
2103,TWIN P (LOWER),TROUT P (LOWER),T2 R9 WELS,PISCATAQUIS,F,BKT,1976
7419,UNNAMED P,ABBIE P,TOPSFIELD,WASHINGTON,F,BKT,NRS
9083,UNNAMED P,,T3 R8 WELS,PENOBSCOT,F,BKT,NRS
4212,WASSATAQUOIK L,,T4 R10 WELS,PISCATAQUIS,F,BKT-CHR,NRS
4214,WASSATAQUOIK L (LITTLE),,T4 R10 WELS,PISCATAQUIS,F,BKT,NRS
4208,WEED P,,T4 R9 WELS,PISCATAQUIS,F,BKT,NRS
2034,WHIDDEN P #1,,MOUNT KATAHDIN TWP,PISCATAQUIS,F,BKT,NRS
2036,WHIDDEN P #2,,MOUNT KATAHDIN TWP,PISCATAQUIS,F,BKT,NRS
2038,WHIDDEN P #3,,MOUNT KATAHDIN TWP,PISCATAQUIS,F,BKT,NRS
730,WINDY PITCH P,,T3 R10 WELS,PISCATAQUIS,F,BKT,1951
2970,ALLAGASH P,,T9 R15 WELS,PISCATAQUIS,G,BKT,NRS
1718,B LAKE,,HAMMOND,AROOSTOOK,G,BKT,NRS
1480,BIG BROOK L,,T14 R10 WELS,AROOSTOOK,G,BKT,NRS
1862,BLACK BROOK L (LITTLE),,CASWELL,AROOSTOOK,G,BKT,1964
1666,BLACK L,,FORT KENT,AROOSTOOK,G,BKT,1975
1506,BLACK L,BLACK P,T15 R9 WELS,AROOSTOOK,G,BKT-CHR,NRS
1508,BLACK P (LITTLE NORTH),,T15 R9 WELS,AROOSTOOK,G,BKT,NRS
1648,BLAKE L,,T16 R6 WELS,AROOSTOOK,G,BKT,1945
1468,BLUE P,,T13 R13 WELS,AROOSTOOK,G,BKT,NRS
2794,BLUFFER P,,T8 R11 WELS,PISCATAQUIS,G,BKT,NRS
2796,BLUFFER P (LITTLE),,T8 R11 WELS,PISCATAQUIS,G,BKT,NRS
2798,BLUFFER P (UPPER),,T8 R11 WELS,PISCATAQUIS,G,BKT,NRS
9759,BOURGOIN L,,SAINT AGATHA,AROOSTOOK,G,BKT,NRS
1548,BRAN L,,SAINT FRANCIS,AROOSTOOK,G,BKT,NRS
4182,BROWN BROOK P,,T9 R9 WELS,PISCATAQUIS,G,BKT,NRS
2840,BUCKLEY P,,T8 R10 WELS,PISCATAQUIS,G,BKT,NRS
1996,BURNT P,,T9 R7 WELS,AROOSTOOK,G,BKT,NRS
1848,BUTTERFIELD L,,CASWELL,AROOSTOOK,G,BKT,1964
1467,CAMPBELL P,,,,G,BKT,NRS
1766,CARLISLE P,,T8 R3 WELS,AROOSTOOK,G,BKT,NRS
1684,CARRY P,,T16 R4 WELS,AROOSTOOK,G,BKT,1968
1582,CENTER P,,T10 R8 WELS,AROOSTOOK,G,BKT,NRS
2834,CHANDLER P,,T8 R10 WELS,PISCATAQUIS,G,BKT,1968
2752,CHASE L,,T9 R10 WELS,PISCATAQUIS,G,BKT,NRS
1538,CHASE P (FIRST),HOURGLASS P,T14 R9 WELS,AROOSTOOK,G,BKT,NRS
1540,CHASE P (SECOND),,T14 R9 WELS,AROOSTOOK,G,BKT,NRS
1542,CHASE P (THIRD),,T14 R9 WELS,AROOSTOOK,G,BKT,NRS
9806,CHURCHILL L (LITTLE),,T10 R13 WELS,PISCATAQUIS,G,BKT,NRS
1958,CLAYTON L,,T12 R8 WELS,AROOSTOOK,G,BKT,1966
2780,CLIFF L,,T9 R12 WELS,PISCATAQUIS,G,BKT,NRS
487,CRATER P,,T15 R9 WELS,AROOSTOOK,G,BKT,1976
1890,CUNLIFFE L,,T12 R13 WELS,AROOSTOOK,G,BKT,NRS
2772,CURRIER P (FOURTH),,T9 R11 WELS,PISCATAQUIS,G,BKT,NRS
2774,CURRIER P (SECOND),,T9 R11 WELS,PISCATAQUIS,G,BKT,1987
1512,DEBOULLIE LAKE,,T15 R9 WELS,AROOSTOOK,G,"BKT, CHR",1996
1524,DENNY P,,T15 R9 WELS,AROOSTOOK,G,BKT,NRS
2996,DESOLATION P,,T8 R16 WELS,SOMERSET,G,BKT,NRS
9771,EASTON P,,EASTON,AROOSTOOK,G,BKT,1939
1490,FALLS P,FALL BROOK L,T18 R10 WELS,AROOSTOOK,G,BKT,NRS
1486,FALLS P (LITTLE),FALL BROOK L (LITTLE),ALLAGASH,AROOSTOOK,G,BKT,NRS
1592,FERGUSON P,,T14 R8 WELS,AROOSTOOK,G,BKT,NRS
1526,GALILEE P,,T15 R9 WELS,AROOSTOOK,G,BKT,NRS
1528,GARDNER L,,T15 R9 WELS,AROOSTOOK,G,BKT-CHR,NRS
1868,GERARD P,,CASWELL,AROOSTOOK,G,BKT,NRS
1556,GILBERT P,,SAINT JOHN PLT,AROOSTOOK,G,BKT,NRS
1558,GILBERT P (LITTLE),JALBERT P (LITTLE),SAINT JOHN PLT,AROOSTOOK,G,BKT,NRS
